# Population 16+ at 31 December 2024 by education level (SUN 2000 level codes: 1 förgymnasial <9 år, 2 förgymnasial 9 (10) år, 3 gymnasial <=2 år, 4 gymnasial 3 år, 5 eftergymnasial <3 år, 6 eftergymnasial >=3 år, 7 forskarutbildning, US uppgift saknas; SCB UF0506 UtbBefRegionR, both sexes), by Riksdag valkrets and five-year age band (band_3 = 16-19 ... band_19 = 95+), aggregated from the four scb_UtbBefRegionR_2024_municipality_age_sex_level_part*.json through valkrets_municipalities_2024.csv. Built 2026-09-02 by Tools/build_valkrets_marginals.sh; see VALKRETS_POPULATION_README.md.
valkrets_no,band,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_US,total
3,5,365,1551,1677,8056,5196,10246,70,1312,28473
3,6,409,1830,1926,8634,4693,11733,568,1235,31028
3,7,544,1549,2269,7319,4472,10491,1147,928,28719
3,8,609,1432,2174,5774,3477,9244,1333,693,24736
3,9,613,1501,2248,5882,2932,8315,1448,464,23403
3,10,561,1591,5693,4113,3320,7154,1254,289,23975
3,11,518,1705,7499,3604,3630,5358,1136,240,23690
3,12,460,2194,7251,2859,3248,4226,904,178,21320
3,13,421,2509,6439,2410,2897,3730,848,176,19430
3,14,807,2346,5286,2207,2839,3720,732,132,18069
3,15,2152,1779,5022,2238,2301,3983,643,151,18269
3,16,2528,850,3147,1390,1315,2450,564,107,12351
3,17,1792,442,1512,551,590,1024,262,81,6254
3,18,970,136,618,187,210,405,85,30,2641
3,19,354,47,202,54,65,110,15,22,869
4,3,9,11392,105,2486,1,0,0,792,14785
4,4,148,2194,866,8652,1875,550,0,560,14845
4,5,419,1689,1326,6212,2223,2452,3,510,14834
4,6,561,1687,1596,7133,3063,4470,38,547,19095
4,7,783,1624,2031,6156,3136,4975,82,500,19287
4,8,885,1415,2159,4997,2616,5211,134,435,17852
4,9,716,1370,2390,5072,2339,4868,147,394,17296
4,10,699,1445,5606,3417,2677,4580,174,242,18840
4,11,604,1675,7571,3072,3136,3406,153,212,19829
4,12,614,1974,7422,2513,2820,2594,113,148,18198
4,13,546,2488,6552,2093,2776,2371,97,168,17091
4,14,1513,2130,5440,2098,2548,2258,80,176,16243
