# Persons 16+ resident all of 2024 by sammanräknad förvärvsinkomst class (tkr, SCB HE0110 SamForvInk1, HE0110J9 Antal personer, both sexes), by Riksdag valkrets and age band, aggregated from scb_SamForvInk1_2024_municipality_age_incomeclass.json through valkrets_municipalities_2024.csv. 'total' is the band's published TOT class; 'unpublished' = total - published_sum is exactly the mass SCB suppressed ('..', cells under 3 persons) in 'suppressed_cells' cells. Built 2026-09-02 by Tools/build_valkrets_marginals.sh; see VALKRETS_POPULATION_README.md.
valkrets_no,age_band,tkr_0,tkr_1-19,tkr_20-39,tkr_40-59,tkr_60-79,tkr_80-99,tkr_100-119,tkr_120-139,tkr_140-159,tkr_160-179,tkr_180-199,tkr_200-219,tkr_220-239,tkr_240-259,tkr_260-279,tkr_280-299,tkr_300-319,tkr_320-339,tkr_340-359,tkr_360-379,tkr_380-399,tkr_400-499,tkr_500-599,tkr_600-799,tkr_800-999,tkr_1000+,published_sum,total,unpublished,suppressed_cells
24,25-29,770,301,223,255,252,194,216,218,626,277,359,337,376,383,496,516,618,663,680,758,679,2669,1054,474,61,13,13468,13527,59,28
24,30-34,833,263,179,281,204,182,199,228,562,273,398,348,441,492,584,676,780,839,947,919,950,3971,2066,1128,182,88,18013,18056,43,15
24,35-39,725,225,178,203,140,145,153,172,439,255,301,310,359,367,480,586,711,838,877,970,911,4073,2368,1648,337,163,17934,17966,32,16
24,40-44,635,142,104,96,92,81,91,135,350,241,236,219,237,283,322,414,521,581,694,749,780,3601,2459,1925,421,314,15723,15772,49,28
24,45-49,542,115,94,63,79,76,62,104,257,253,192,199,195,264,277,374,441,567,608,781,738,3526,2507,2257,552,390,15513,15536,23,37
24,50-54,590,117,83,77,64,65,91,81,284,336,248,212,258,283,301,393,491,613,729,800,880,4156,2748,2309,597,469,17275,17304,29,30
24,55-59,625,140,76,63,78,85,84,104,308,331,289,274,307,297,410,456,561,689,774,919,999,4317,2844,2343,559,409,18341,18410,69,30
24,60-64,543,131,117,68,94,111,117,207,397,464,391,371,416,426,500,551,628,728,840,935,939,3972,2363,1802,429,315,17855,17905,50,15
24,65-69,108,9,21,13,6,6,43,186,317,457,564,675,742,832,942,933,905,838,877,834,726,2950,1776,1560,301,181,16802,17725,923,119
24,70-74,69,7,16,3,13,20,50,381,630,948,1449,1559,1581,1535,1280,1081,851,768,626,512,446,1488,756,708,193,156,17126,17239,113,78
24,75-79,78,8,3,8,9,25,22,449,730,1207,1796,2225,2288,2096,1490,1088,799,554,409,288,238,764,420,353,115,66,17528,17579,51,91
24,80-84,65,3,0,0,0,3,17,307,414,752,1162,1553,1830,1508,1147,873,500,359,247,188,144,448,200,139,43,18,11920,12023,103,115
24,85+,37,0,0,0,0,0,15,231,570,708,1050,1407,1603,1180,923,686,411,252,180,124,92,261,81,73,3,11,9898,9976,78,138
25,16-19,4344,3717,1604,838,639,422,323,228,180,163,114,79,48,30,18,12,8,7,0,0,0,7,0,0,0,0,12781,12852,71,120
25,20-24,1383,596,491,538,568,514,495,513,888,516,497,493,504,569,569,605,570,514,481,432,373,1243,406,134,0,4,13896,13903,7,23
25,25-29,821,296,262,267,247,284,261,266,741,317,349,386,397,438,514,529,596,656,670,689,613,2478,1117,472,43,19,13728,13819,91,17
25,30-34,773,312,253,313,227,210,215,272,604,320,375,384,457,521,584,662,783,854,911,949,954,3781,2007,1156,142,101,18120,18114,-6,9
25,35-39,629,249,194,211,169,139,155,190,475,274,349,314,357,382,470,544,687,771,862,882,897,3854,2271,1576,318,185,17404,17410,6,12
25,40-44,547,130,156,145,98,96,102,140,352,302,248,251,283,326,349,389,530,590,651,782,797,3246,2221,1893,430,334,15388,15436,48,15
25,45-49,531,141,114,90,90,96,86,129,322,264,248,240,237,307,295,374,474,548,585,666,746,3413,2349,2184,536,349,15414,15435,21,10
25,50-54,529,140,90,99,91,62,88,118,324,357,305,302,299,342,360,419,525,582,710,819,886,4078,2820,2554,646,514,18059,18035,-24,15
25,55-59,628,143,90,101,100,75,90,148,345,445,363,376,354,428,414,439,585,728,736,896,986,4409,2842,2392,632,451,19196,19213,17,9
25,60-64,556,113,98,99,76,105,94,168,396,553,432,444,413,490,506,563,636,726,801,905,964,3928,2400,1917,446,301,18130,18143,13,8
25,65-69,93,54,49,15,36,48,73,302,285,522,559,703,745,807,957,893,912,872,779,767,740,2859,1698,1495,357,192,16812,17188,376,53
25,70-74,66,7,30,31,25,37,48,442,588,912,1290,1553,1709,1518,1257,1065,866,700,594,517,436,1329,699,630,167,125,16641,16679,38,41
25,75-79,81,17,18,17,20,15,49,448,678,1176,1710,2193,2421,2016,1513,1114,813,539,392,266,231,728,374,308,81,51,17269,17284,15,51
25,80-84,57,0,9,12,3,6,16,278,408,689,1097,1550,1752,1474,1116,869,500,345,245,197,136,386,172,130,42,29,11518,11562,44,72
25,85+,29,0,3,0,0,0,9,172,503,639,951,1449,1455,1182,865,707,358,259,152,103,74,205,76,39,11,6,9247,9336,89,98
26,16-19,2972,3621,1529,898,574,384,301,241,193,170,94,80,53,50,24,3,9,4,0,0,0,0,0,0,0,0,11200,11241,41,82
26,20-24,891,450,348,398,419,445,385,358,774,418,403,405,418,437,422,506,516,592,488,439,357,1090,327,120,9,0,11415,11401,-14,12
26,25-29,612,216,171,221,196,249,195,187,650,232,283,272,301,341,385,421,478,560,607,633,546,2241,997,389,34,10,11427,11448,21,11
26,30-34,643,192,172,205,152,158,168,208,521,235,312,260,330,380,446,533,631,728,782,782,806,3419,1740,1032,123,55,15013,15002,-11,4
26,35-39,530,160,120,148,129,123,111,136,457,236,255,235,272,338,385,436,562,656,688,771,743,3423,2059,1427,247,111,14758,14777,19,3
26,40-44,480,133,112,86,83,80,80,87,309,213,189,172,189,243,278,325,413,502,523,640,638,3182,2030,1827,405,195,13414,13410,-4,4
26,45-49,439,89,62,57,62,58,84,90,256,219,138,168,171,217,234,302,391,503,533,550,640,3172,2302,2238,535,357,13867,13854,-13,2
26,50-54,467,94,56,61,45,44,46,77,234,258,223,211,180,228,282,279,413,504,563,690,710,3636,2425,2514,649,407,15296,15311,15,8
26,55-59,496,92,65,85,69,57,80,100,302,333,283,262,277,308,319,332,410,598,693,735,790,3900,2585,2403,630,426,16630,16628,-2,4
26,60-64,460,89,85,88,59,79,97,108,313,364,296,328,355,381,406,360,509,550,658,706,775,3400,1951,1768,420,310,14915,14897,-18,2
26,65-69,83,9,28,35,23,39,44,137,289,436,461,568,625,723,750,781,755,768,762,694,630,2446,1542,1388,274,160,14450,14721,271,36
26,70-74,55,11,11,24,24,22,33,289,382,695,1053,1203,1369,1376,1060,946,807,683,522,455,414,1234,662,573,121,110,14134,14147,13,26
26,75-79,44,0,7,10,3,4,12,314,424,822,1355,1828,1988,1761,1285,989,595,456,357,277,217,694,364,282,79,79,14246,14279,33,40
26,80-84,37,0,4,0,4,5,3,187,282,522,815,1348,1601,1363,970,709,445,344,208,181,122,359,156,112,36,19,9832,9869,37,50
26,85+,25,0,0,0,0,0,8,130,392,498,785,1194,1304,1086,745,607,366,238,155,114,81,224,75,48,7,9,8091,8146,55,63
27,16-19,1065,2388,823,486,368,213,146,110,111,87,52,40,28,21,9,8,0,0,5,0,0,0,0,0,0,0,5960,6024,64,107
27,20-24,429,268,262,237,274,248,226,253,397,246,251,250,268,296,349,379,331,281,269,229,150,472,144,37,0,0,6546,6545,-1,24
27,25-29,268,126,126,144,153,130,140,149,319,169,170,191,199,233,266,315,355,355,410,347,348,1116,425,168,15,3,6640,6653,13,19
27,30-34,311,96,80,110,112,83,118,123,260,147,171,187,215,246,319,366,391,490,486,538,480,1990,922,485,68,26,8820,8861,41,14
27,35-39,260,95,59,70,86,61,74,92,221,131,127,144,174,231,252,318,354,414,455,492,452,2084,1075,732,138,81,8672,8695,23,15
27,40-44,217,66,41,54,35,48,50,49,163,104,107,85,127,169,186,233,248,270,354,374,380,1776,1138,951,211,118,7554,7609,55,21
27,45-49,182,59,48,31,37,31,36,48,123,117,84,90,101,132,137,192,243,253,319,333,365,1702,1228,1092,275,183,7441,7490,49,27
27,50-54,209,37,34,37,20,27,20,56,127,151,107,118,125,134,189,172,238,301,334,369,431,1849,1299,1231,266,211,8092,8106,14,23
27,55-59,238,55,12,63,37,35,48,43,148,164,144,127,138,173,190,214,266,366,424,433,452,1922,1258,1034,234,184,8402,8407,5,18
27,60-64,212,62,38,43,53,52,41,49,163,203,184,187,188,205,247,280,295,375,397,416,404,1738,1075,791,168,127,7993,7978,-15,10
27,65-69,36,24,0,11,4,19,17,55,92,244,209,299,311,389,365,437,456,389,364,369,335,1309,848,685,143,74,7484,7949,465,65
27,70-74,29,4,0,4,6,0,8,104,244,383,644,718,790,698,595,518,410,322,260,222,144,626,363,291,79,54,7516,7584,68,49
27,75-79,20,0,4,0,0,0,8,192,276,443,793,1039,1079,972,641,434,313,226,171,149,104,348,155,149,34,27,7577,7600,23,61
27,80-84,13,0,0,0,0,3,4,114,184,318,524,717,844,717,459,321,199,146,97,59,46,152,62,43,12,11,5045,5099,54,77
27,85+,11,0,0,0,0,0,4,86,260,275,462,624,691,541,329,232,144,101,63,30,32,89,16,16,6,6,4018,4075,57,87
28,16-19,2656,3932,1778,1029,761,456,342,284,286,172,136,87,79,46,40,22,20,23,6,0,0,10,0,0,0,0,12165,12301,136,232
28,20-24,1401,834,890,1280,1323,1007,768,693,923,571,613,592,552,610,591,666,564,587,556,534,492,1686,772,269,14,0,18788,18854,66,87
28,25-29,875,407,378,481,536,457,399,350,744,378,416,401,414,466,515,512,650,714,751,821,832,3424,1767,687,50,16,17441,17582,141,97
28,30-34,889,293,200,252,248,223,199,246,574,327,368,361,438,508,601,636,820,869,923,1017,1104,4779,2778,1498,207,80,20438,20540,102,86
28,35-39,633,193,128,131,129,133,124,147,459,234,300,273,309,352,438,539,669,817,836,979,949,4458,2895,1918,374,175,18592,18728,136,94
28,40-44,481,94,72,68,80,77,79,76,337,213,227,190,192,323,316,389,509,566,655,711,832,3931,2888,2359,564,339,16568,16638,70,103
28,45-49,371,90,47,50,47,52,48,67,247,214,166,161,200,218,222,298,392,481,592,688,716,3806,2770,2640,656,446,15685,15792,107,115
28,50-54,332,78,43,39,42,38,44,60,217,268,205,168,176,203,266,305,438,503,536,747,745,3743,2745,2729,648,487,15805,15970,165,110
28,55-59,344,108,54,35,37,54,51,64,245,341,241,261,245,281,289,338,458,549,653,748,864,3956,2626,2485,617,458,16402,16486,84,93
28,60-64,375,85,41,49,58,77,60,112,263,391,321,328,331,388,434,451,524,574,623,672,756,3411,2153,1899,411,339,15126,15217,91,73
28,65-69,87,26,17,25,15,24,35,126,188,354,442,541,568,583,728,788,814,721,704,666,657,2672,1534,1320,302,250,14187,15417,1230,192
28,70-74,55,9,6,5,11,18,18,218,398,611,967,1254,1343,1308,1197,995,851,705,561,502,382,1282,688,611,164,156,14315,14359,44,117
28,75-79,43,5,3,11,3,6,12,245,420,809,1313,1719,1914,1671,1342,902,652,443,352,276,203,674,331,285,104,84,13822,13891,69,133
28,80-84,25,0,5,5,0,3,9,165,259,484,806,1241,1533,1266,992,695,404,261,196,110,97,331,139,115,44,27,9212,9309,97,183
28,85+,26,0,0,0,0,0,0,119,358,513,803,1084,1318,987,799,590,328,188,143,107,52,185,65,60,15,3,7743,7839,96,200
29,16-19,1550,3438,1575,1013,690,472,331,264,225,213,159,120,81,93,40,48,32,19,24,18,0,25,0,0,0,0,10430,10521,91,162
29,20-24,920,458,445,560,608,497,380,393,635,413,393,434,400,454,460,515,594,526,532,456,390,1699,894,472,36,0,13564,13577,13,46
29,25-29,608,214,224,231,263,211,226,209,520,232,250,280,312,341,351,383,505,566,601,620,585,2730,1719,1018,79,18,13296,13380,84,61
29,30-34,619,159,123,170,155,134,153,167,487,194,282,232,289,362,416,478,651,716,745,754,854,3581,2513,1795,230,82,16341,16393,52,42
29,35-39,487,135,84,97,87,85,105,124,406,192,189,209,236,285,315,412,521,584,646,654,690,3406,2715,2279,386,162,15491,15524,33,54
29,40-44,355,76,63,59,59,68,43,69,298,160,160,144,148,158,222,286,358,413,509,566,610,3002,2356,2395,530,296,13403,13483,80,69
29,45-49,330,67,45,54,41,31,53,58,225,182,122,134,140,166,202,221,360,376,458,527,582,2894,2348,2457,594,351,13018,13077,59,76
29,50-54,339,69,42,47,40,44,53,56,217,268,140,161,181,186,251,240,358,391,524,572,660,3604,2652,2798,719,411,15023,15105,82,71
29,55-59,319,73,59,46,49,47,44,72,225,335,188,228,206,290,275,315,440,471,606,715,769,3808,2799,3000,685,433,16497,16570,73,57
29,60-64,322,77,62,83,41,91,81,95,301,357,289,296,291,363,406,379,506,619,649,701,725,3560,2387,2204,478,300,15663,15741,78,34
29,65-69,43,12,7,32,15,22,14,106,233,373,516,614,606,771,825,828,851,732,688,651,573,2665,1602,1452,277,215,14723,15498,775,128
29,70-74,41,0,15,14,8,13,15,239,408,757,1200,1416,1439,1340,1161,998,834,625,552,469,386,1321,659,631,155,122,14818,14849,31,87
29,75-79,29,0,7,0,4,4,9,307,468,879,1457,1816,2064,1728,1231,997,668,484,355,256,204,600,309,245,57,59,14237,14301,64,110
29,80-84,28,0,3,0,0,0,5,185,226,462,827,1265,1668,1430,994,754,531,340,204,156,111,287,119,100,26,12,9733,9800,67,133
29,85+,18,0,0,0,0,0,4,133,326,473,785,1168,1426,1139,837,701,460,275,178,115,63,175,38,34,7,0,8355,8372,17,160
