# Persons 16+ resident all of 2024 by sammanräknad förvärvsinkomst class (tkr, SCB HE0110 SamForvInk1, HE0110J9 Antal personer, both sexes), by Riksdag valkrets and age band, aggregated from scb_SamForvInk1_2024_municipality_age_incomeclass.json through valkrets_municipalities_2024.csv. 'total' is the band's published TOT class; 'unpublished' = total - published_sum is exactly the mass SCB suppressed ('..', cells under 3 persons) in 'suppressed_cells' cells. Built 2026-09-02 by Tools/build_valkrets_marginals.sh; see VALKRETS_POPULATION_README.md.
valkrets_no,age_band,tkr_0,tkr_1-19,tkr_20-39,tkr_40-59,tkr_60-79,tkr_80-99,tkr_100-119,tkr_120-139,tkr_140-159,tkr_160-179,tkr_180-199,tkr_200-219,tkr_220-239,tkr_240-259,tkr_260-279,tkr_280-299,tkr_300-319,tkr_320-339,tkr_340-359,tkr_360-379,tkr_380-399,tkr_400-499,tkr_500-599,tkr_600-799,tkr_800-999,tkr_1000+,published_sum,total,unpublished,suppressed_cells
6,70-74,109,26,42,81,80,134,134,517,574,875,1186,1486,1636,1468,1379,1128,963,754,644,533,491,1548,887,912,222,189,17998,18046,48,39
6,75-79,130,20,42,59,70,47,62,482,713,1158,1674,2130,2204,2007,1621,1024,741,630,442,321,267,933,509,454,174,120,18034,18105,71,56
6,80-84,106,23,52,50,21,12,17,368,482,826,1208,1623,1777,1608,1221,830,555,346,274,201,149,521,268,182,60,38,12818,12892,74,81
6,85+,90,4,22,6,0,5,20,275,850,943,1326,1648,1779,1325,864,637,400,272,159,143,85,247,114,99,13,14,11340,11393,53,110
7,16-19,2456,3314,1328,738,516,325,278,219,212,139,82,62,25,27,10,3,3,3,3,0,0,0,0,0,0,0,9743,9814,71,104
7,20-24,1062,554,524,744,702,557,477,477,662,405,477,413,445,432,421,465,518,469,460,370,369,923,207,73,5,0,12211,12180,-31,17
7,25-29,630,308,251,305,262,275,202,213,512,222,240,275,274,306,348,349,447,512,593,582,652,2188,849,219,18,9,11041,11033,-8,15
7,30-34,612,232,175,204,147,138,162,171,382,185,237,294,290,340,356,392,499,628,660,745,738,3100,1486,827,104,38,13142,13156,14,10
7,35-39,557,154,115,140,102,95,110,113,363,169,212,218,236,274,337,386,435,515,587,638,689,2981,1707,1230,294,111,12768,12770,2,6
7,40-44,494,120,103,107,75,58,85,106,286,160,166,168,186,217,263,306,343,463,535,603,569,2750,1702,1479,363,230,11937,11917,-20,8
7,45-49,478,93,84,59,60,51,81,86,217,164,148,158,166,198,196,269,346,418,450,527,528,2706,1798,1803,507,376,11967,11977,10,4
7,50-54,484,97,64,46,48,49,67,80,202,201,181,186,189,215,241,260,347,441,452,521,570,2784,1799,1640,464,373,12001,12017,16,7
7,55-59,522,86,67,71,47,46,69,97,238,255,222,214,204,251,308,319,366,428,489,575,685,3005,1795,1593,452,373,12777,12758,-19,9
7,60-64,476,73,86,77,65,55,79,102,214,263,263,285,240,301,303,325,366,437,502,550,609,2504,1421,1115,278,241,11230,11227,-3,6
7,65-69,138,33,36,40,25,36,53,193,192,316,305,371,347,502,540,487,506,491,451,440,418,1698,1076,1040,187,168,10089,10540,451,49
7,70-74,114,25,30,39,56,70,66,291,345,515,701,864,907,815,700,627,524,466,396,315,261,874,518,474,136,125,10254,10313,59,24
7,75-79,107,17,17,29,31,24,40,280,392,651,949,1124,1271,1047,874,631,419,342,246,197,170,548,266,250,90,53,10065,10106,41,30
7,80-84,96,21,21,29,5,10,14,251,239,483,704,883,954,810,701,448,315,219,141,119,107,254,147,89,16,26,7102,7150,48,47
7,85+,63,3,13,0,0,3,10,171,529,510,730,949,936,721,524,446,230,140,90,67,55,172,64,46,7,6,6485,6536,51,72
8,16-19,2481,3251,1777,1078,682,387,303,207,187,150,98,63,46,23,19,10,7,4,0,0,0,0,0,0,0,0,10773,10837,64,157
8,20-24,901,465,388,612,570,485,441,410,772,385,406,360,433,445,462,488,499,481,471,379,351,1036,320,67,8,0,11635,11660,25,28
8,25-29,558,282,209,270,271,228,225,208,596,225,260,287,325,361,386,467,521,592,633,643,591,2274,909,361,17,3,11702,11717,15,27
8,30-34,571,230,175,238,199,157,139,210,522,267,296,282,348,422,479,585,655,770,839,831,889,3489,1686,885,113,33,15310,15355,45,18
8,35-39,486,191,137,177,155,92,103,146,462,196,252,238,264,322,381,481,604,637,756,767,838,3435,1810,1256,258,101,14545,14529,-16,10
8,40-44,499,112,101,95,85,71,76,101,325,213,210,200,206,232,278,338,455,538,606,655,667,3126,1919,1554,315,232,13209,13214,5,16
8,45-49,466,107,71,45,81,66,86,99,305,216,179,171,180,238,275,297,420,465,600,621,694,3119,2090,1736,429,309,13365,13414,49,17
8,50-54,445,82,72,75,56,64,69,108,275,312,202,217,197,263,323,339,420,506,678,709,794,3603,2283,1901,487,325,14805,14856,51,19
8,55-59,523,94,71,90,54,70,88,109,323,345,264,267,298,345,391,402,508,592,722,880,884,3889,2326,1915,470,352,16272,16331,59,10
8,60-64,511,116,106,93,104,92,125,132,379,451,349,393,364,421,487,486,567,660,695,822,857,3484,1848,1495,335,270,15642,15656,14,4
8,65-69,213,58,47,30,22,29,40,207,294,467,519,469,643,758,767,740,711,765,721,692,631,2530,1510,1290,212,179,14544,15252,708,79
8,70-74,167,9,36,28,43,63,92,410,505,867,1122,1458,1361,1316,1062,898,744,569,504,457,389,1233,665,636,154,126,14914,14944,30,41
8,75-79,134,16,26,33,22,36,28,435,607,1052,1529,1878,1960,1729,1240,874,536,421,301,272,234,681,346,344,110,81,14925,14979,54,54
8,80-84,115,22,15,23,0,3,22,334,453,704,1019,1390,1573,1282,955,629,369,279,188,160,127,357,163,149,52,19,10402,10463,61,70
8,85+,50,0,4,0,4,0,18,228,681,693,1004,1332,1343,1054,795,558,291,203,134,103,97,200,75,54,5,10,8936,8997,61,107
9,16-19,470,654,582,279,168,116,83,67,61,40,20,14,12,9,4,3,0,4,0,0,0,0,0,0,0,0,2586,2590,4,9
9,20-24,277,144,106,160,141,131,96,96,182,117,110,98,99,105,141,130,140,124,104,82,80,227,49,11,0,0,2950,2944,-6,2
9,25-29,189,70,52,57,63,71,59,72,130,67,63,73,78,79,93,119,103,120,151,132,127,450,200,48,7,0,2673,2667,-6,1
9,30-34,178,57,45,47,45,48,41,41,123,54,79,67,88,96,113,143,170,184,210,216,189,803,315,182,23,11,3568,3575,7,0
9,35-39,120,33,32,32,39,30,37,46,115,48,64,54,72,84,96,110,139,166,179,210,210,827,424,266,51,24,3508,3508,0,0
9,40-44,104,37,18,26,20,31,26,28,83,57,42,42,59,67,70,101,105,142,163,161,156,813,464,367,63,53,3298,3296,-2,0
9,45-49,104,34,21,18,22,11,27,12,70,57,44,41,45,56,64,84,102,137,150,149,170,821,468,400,83,73,3263,3269,6,0
9,50-54,105,35,24,19,23,26,23,29,61,83,47,59,60,75,75,94,111,145,161,193,176,914,571,441,103,102,3755,3745,-10,0
9,55-59,138,46,22,30,25,33,28,41,78,82,93,77,83,80,111,120,143,184,186,197,229,933,555,444,99,85,4142,4126,-16,0
9,60-64,124,47,28,31,30,36,38,43,115,108,113,103,81,127,132,134,173,178,194,236,203,877,430,379,68,57,4085,4105,20,0
9,65-69,10,9,18,10,0,22,17,72,109,124,145,171,210,248,235,218,238,215,196,161,151,623,396,349,62,57,4066,4080,14,1
9,70-74,13,0,3,0,3,8,14,105,187,211,329,372,374,364,293,254,196,171,116,115,95,290,146,178,64,48,3949,3963,14,2
9,75-79,12,0,4,7,0,0,17,122,169,267,381,501,536,395,297,205,167,112,78,67,59,188,85,89,32,23,3813,3808,-5,3
9,80-84,7,7,0,0,3,0,9,112,126,185,261,377,420,352,214,128,104,69,58,31,34,102,35,32,5,13,2684,2687,3,3
9,85+,4,0,0,0,0,0,9,74,199,181,258,305,329,197,177,147,78,45,28,22,20,52,20,21,4,0,2170,2189,19,6
10,16-19,1884,2510,1027,618,413,265,193,162,114,99,48,43,28,23,8,6,3,0,0,0,0,0,0,0,0,0,7444,7470,26,60
10,20-24,878,354,326,426,403,349,279,281,515,270,284,311,294,308,282,308,308,281,226,230,251,891,368,62,8,0,8493,8483,-10,9
10,25-29,470,183,148,160,162,157,136,158,347,165,156,198,210,212,236,294,321,321,326,337,390,1483,802,306,20,0,7698,7675,-23,8
10,30-34,394,165,92,139,118,80,101,140,314,147,169,191,230,222,289,356,413,418,450,487,474,2110,1218,753,78,40,9588,9609,21,2
10,35-39,351,122,108,102,83,74,67,102,257,131,147,144,174,214,229,278,347,398,401,442,429,2051,1363,890,159,78,9141,9165,24,1
10,40-44,355,80,71,47,62,54,51,70,194,155,123,123,124,160,184,226,290,311,373,403,372,1855,1294,1165,287,139,8568,8569,1,0
10,45-49,280,59,44,40,58,34,46,77,172,150,135,121,102,162,174,189,275,296,332,392,418,1893,1491,1499,361,243,9043,9056,13,3
10,50-54,288,63,47,52,38,47,48,74,178,181,151,136,139,159,192,212,288,335,389,420,437,2133,1623,1613,413,315,9971,9966,-5,0
10,55-59,305,63,51,53,37,42,51,79,176,219,178,180,202,203,233,257,323,384,428,444,557,2261,1636,1555,412,346,10675,10663,-12,0
10,60-64,324,56,46,51,50,69,49,77,212,256,233,241,228,261,275,279,352,352,410,476,437,1955,1307,1137,288,204,9625,9597,-28,0
10,65-69,68,17,26,23,22,9,28,135,176,270,282,342,405,464,429,481,454,428,469,370,396,1477,874,771,203,142,8761,8934,173,20
10,70-74,61,10,22,30,30,34,47,233,339,470,693,786,819,752,667,513,467,351,297,281,203,715,414,374,119,87,8814,8816,2,5
10,75-79,49,10,14,36,27,14,38,267,386,589,877,1088,1174,1042,771,524,356,263,194,152,137,394,221,186,61,65,8935,8955,20,10
10,80-84,37,6,13,8,3,6,9,204,245,402,649,879,991,868,654,424,257,191,125,120,97,203,116,73,30,17,6627,6645,18,25
10,85+,27,0,0,0,0,0,21,153,382,423,543,771,933,708,528,384,210,143,102,63,57,129,46,38,7,9,5677,5702,25,34
11,16-19,5219,5813,1377,744,574,400,266,206,151,102,91,45,42,32,15,14,13,11,0,4,0,12,3,3,0,0,15137,15141,4,4
11,20-24,2800,1410,1093,1189,1158,1014,911,890,1094,755,765,738,667,670,618,626,586,590,557,464,389,1192,317,156,69,28,20746,20727,-19,0
11,25-29,2278,970,777,798,795,694,657,694,1067,682,771,783,733,774,803,886,916,1022,1085,1152,1289,5527,2425,1274,370,247,29469,29465,-4,0
11,30-34,2274,814,562,582,499,413,455,537,712,590,651,680,726,777,883,887,1068,1111,1180,1347,1378,6768,4170,3254,814,625,33757,33755,-2,0
11,35-39,2014,556,458,382,326,325,341,391,599,473,553,592,626,666,714,826,986,1013,1025,1052,1126,5451,3561,3514,1087,986,29643,29646,3,0
11,40-44,1833,467,348,306,264,227,218,320,544,366,447,446,473,537,573,584,795,847,862,914,919,4455,3174,3358,1242,1297,25816,25813,-3,0
11,45-49,1755,304,245,174,182,163,221,276,479,304,365,406,377,453,472,524,573,742,697,732,831,3785,2829,3228,1292,1467,22876,22875,-1,0
11,50-54,1601,240,171,176,138,128,170,226,517,286,396,341,399,386,432,431,546,560,631,715,770,3388,2423,2938,1067,1436,20512,20508,-4,0
11,55-59,1524,226,163,161,123,137,134,233,507,312,402,376,356,419,430,388,534,547,640,669,651,3407,2326,2518,945,1109,19237,19253,16,0
11,60-64,1430,217,142,155,154,141,168,228,650,402,443,424,461,501,506,422,541,620,626,671,639,3011,1946,1883,688,757,17826,17836,10,0
11,65-69,275,167,161,183,214,283,282,677,610,522,548,549,594,535,583,578,567,547,535,537,475,1938,1391,1423,402,442,15018,15026,8,0
