"m","d","surname","firstName","start","end","tipoElezione","coverage","lista","procl"
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307479_20180309","http://dati.camera.it/ocd/deputato.rdf/d307479_18","DELMASTRO DELLE VEDOVE","ANDREA","20180309","20221012","maggioritario","PIEMONTE 2 - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307479_20180309","http://dati.camera.it/ocd/deputato.rdf/d307479_18","DELMASTRO DELLE VEDOVE","ANDREA","20180309","20221012","maggioritario","PIEMONTE 2 - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_306383_20180309","http://dati.camera.it/ocd/deputato.rdf/d306383_18","DI GIORGI","ROSA MARIA","20180309","20221012","maggioritario","TOSCANA - 03",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307127_20180309","http://dati.camera.it/ocd/deputato.rdf/d307127_18","EMILIOZZI","MIRELLA","20180309","20221012","maggioritario","MARCHE - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307127_20180309","http://dati.camera.it/ocd/deputato.rdf/d307127_18","EMILIOZZI","MIRELLA","20180309","20221012","maggioritario","MARCHE - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307125_20180309","http://dati.camera.it/ocd/deputato.rdf/d307125_18","FICARA","PAOLO","20180309","20221012","maggioritario","SICILIA 2 - 03",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307125_20180309","http://dati.camera.it/ocd/deputato.rdf/d307125_18","FICARA","PAOLO","20180309","20221012","maggioritario","SICILIA 2 - 03",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307131_20180309","http://dati.camera.it/ocd/deputato.rdf/d307131_18","FOSCOLO","SARA","20180309","20221012","maggioritario","LIGURIA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_302155_20180309","http://dati.camera.it/ocd/deputato.rdf/d302155_18","FUGATTI","MAURIZIO","20180309","20190109","maggioritario","TRENTINO-ALTO ADIGE/SÜDTIROL - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_302155_20180309","http://dati.camera.it/ocd/deputato.rdf/d302155_18","FUGATTI","MAURIZIO","20180309","20190109","maggioritario","TRENTINO-ALTO ADIGE/SÜDTIROL - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307135_20180309","http://dati.camera.it/ocd/deputato.rdf/d307135_18","GAGLIARDI","MANUELA","20180309","20221012","maggioritario","LIGURIA - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307509_20180309","http://dati.camera.it/ocd/deputato.rdf/d307509_18","GASTALDI","FLAVIO","20180309","20221012","maggioritario","PIEMONTE 2 - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307509_20180309","http://dati.camera.it/ocd/deputato.rdf/d307509_18","GASTALDI","FLAVIO","20180309","20221012","maggioritario","PIEMONTE 2 - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307138_20180309","http://dati.camera.it/ocd/deputato.rdf/d307138_18","GAVA","VANNIA","20180309","20221012","maggioritario","FRIULI-VENEZIA GIULIA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307138_20180309","http://dati.camera.it/ocd/deputato.rdf/d307138_18","GAVA","VANNIA","20180309","20221012","maggioritario","FRIULI-VENEZIA GIULIA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_305580_20180309","http://dati.camera.it/ocd/deputato.rdf/d305580_18","GEBHARD","RENATE","20180309","20221012","maggioritario","TRENTINO-ALTO ADIGE/SÜDTIROL - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307508_20180309","http://dati.camera.it/ocd/deputato.rdf/d307508_18","GIACCONE","ANDREA","20180309","20221012","maggioritario","PIEMONTE 2 - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307508_20180309","http://dati.camera.it/ocd/deputato.rdf/d307508_18","GIACCONE","ANDREA","20180309","20221012","maggioritario","PIEMONTE 2 - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_300480_20180309","http://dati.camera.it/ocd/deputato.rdf/d300480_18","GIACHETTI","ROBERTO","20180309","20221012","maggioritario","TOSCANA - 03",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307121_20180309","http://dati.camera.it/ocd/deputato.rdf/d307121_18","GIARRIZZO","ANDREA","20180309","20221012","maggioritario","SICILIA 2 - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307121_20180309","http://dati.camera.it/ocd/deputato.rdf/d307121_18","GIARRIZZO","ANDREA","20180309","20221012","maggioritario","SICILIA 2 - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_306071_20180309","http://dati.camera.it/ocd/deputato.rdf/d306071_18","GRILLO","GIULIA","20180309","20221012","maggioritario","SICILIA 2 - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307232_20180309","http://dati.camera.it/ocd/deputato.rdf/d307232_18","GRIPPA","CARMELA","20180309","20221012","maggioritario","ABRUZZO - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307475_20180309","http://dati.camera.it/ocd/deputato.rdf/d307475_18","GUSMEROLI","ALBERTO LUIGI","20180309","20221012","maggioritario","PIEMONTE 2 - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307475_20180309","http://dati.camera.it/ocd/deputato.rdf/d307475_18","GUSMEROLI","ALBERTO LUIGI","20180309","20221012","maggioritario","PIEMONTE 2 - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307145_20180309","http://dati.camera.it/ocd/deputato.rdf/d307145_18","LOLINI","MARIO","20180309","20221012","maggioritario","TOSCANA - 04",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307145_20180309","http://dati.camera.it/ocd/deputato.rdf/d307145_18","LOLINI","MARIO","20180309","20221012","maggioritario","TOSCANA - 04",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_306082_20180309","http://dati.camera.it/ocd/deputato.rdf/d306082_18","LOREFICE","MARIALUCIA","20180309","20221012","maggioritario","SICILIA 2 - 03",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_306128_20180309","http://dati.camera.it/ocd/deputato.rdf/d306128_18","LOTTI","LUCA","20180309","20221012","maggioritario","TOSCANA - 03",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307453_20180309","http://dati.camera.it/ocd/deputato.rdf/d307453_18","MARCHETTI","RICCARDO AUGUSTO","20180309","20221012","maggioritario","UMBRIA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307453_20180309","http://dati.camera.it/ocd/deputato.rdf/d307453_18","MARCHETTI","RICCARDO AUGUSTO","20180309","20221012","maggioritario","UMBRIA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307120_20180309","http://dati.camera.it/ocd/deputato.rdf/d307120_18","MARTINCIGLIO","VITA","20180309","20221012","maggioritario","SICILIA 1 - 03",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307120_20180309","http://dati.camera.it/ocd/deputato.rdf/d307120_18","MARTINCIGLIO","VITA","20180309","20221012","maggioritario","SICILIA 1 - 03",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307230_20180309","http://dati.camera.it/ocd/deputato.rdf/d307230_18","MARTINO","ANTONIO","20180309","20221012","maggioritario","ABRUZZO - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_306080_20180309","http://dati.camera.it/ocd/deputato.rdf/d306080_18","MARZANA","MARIA","20180309","20221012","maggioritario","SICILIA 2 - 03",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307507_20180309","http://dati.camera.it/ocd/deputato.rdf/d307507_18","MOLINARI","RICCARDO","20180309","20221012","maggioritario","PIEMONTE 2 - 01",,
