"s","lastName","firstName","leg","inizio","fine","carica","gruppo","gruppoLabel"
"http://dati.senato.it/senatore/36397","Farolfi","Marta",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/32628","Fazzolari","Giovanbattista",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/4192","Fazzone","Claudio",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/56",
"http://dati.senato.it/senatore/30294","Fina","Michele",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/36399","Floridia","Aurora",19,2022-10-18,2025-02-18,"Vicepresidente","http://dati.senato.it/gruppo/9",
"http://dati.senato.it/senatore/36399","Floridia","Aurora",19,2025-02-19,,"Membro","http://dati.senato.it/gruppo/69",
"http://dati.senato.it/senatore/32634","Floridia","Barbara",19,2022-10-18,2023-04-17,"Presidente","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/32634","Floridia","Barbara",19,2023-04-18,,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/36400","Franceschelli","Silvio",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/5799","Franceschini","Dario",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/29406","Fregolent","Silvia",19,2022-10-18,2022-10-18,"Membro","http://dati.senato.it/gruppo/91",
"http://dati.senato.it/senatore/29406","Fregolent","Silvia",19,2022-10-19,,"Segretario","http://dati.senato.it/gruppo/91",
"http://dati.senato.it/senatore/31725","Furlan","Annamaria",19,2022-10-18,2025-03-06,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/31725","Furlan","Annamaria",19,2025-03-07,2025-06-03,"Membro","http://dati.senato.it/gruppo/91",
"http://dati.senato.it/senatore/31725","Furlan","Annamaria",19,2025-06-04,,"Segretario","http://dati.senato.it/gruppo/91",
"http://dati.senato.it/senatore/32637","Galliani","Adriano",19,2023-11-02,,"Membro","http://dati.senato.it/gruppo/56",
"http://dati.senato.it/senatore/22963","Garavaglia","Massimo",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/18121","Garnero Santanche'","Daniela",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/1103","Gasparri","Maurizio",19,2022-10-18,2023-11-21,"Membro","http://dati.senato.it/gruppo/56",
"http://dati.senato.it/senatore/1103","Gasparri","Maurizio",19,2023-11-21,2026-03-25,"Presidente","http://dati.senato.it/gruppo/56",
"http://dati.senato.it/senatore/1103","Gasparri","Maurizio",19,2026-03-26,,"Membro","http://dati.senato.it/gruppo/56",
"http://dati.senato.it/senatore/32640","Gaudiano","Felicia",19,2025-01-09,,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/36433","Gelmetti","Matteo",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/22966","Gelmini","Mariastella",19,2022-10-18,2022-10-18,"Membro","http://dati.senato.it/gruppo/91",
"http://dati.senato.it/senatore/22966","Gelmini","Mariastella",19,2022-10-19,2023-11-08,"Vicepresidente","http://dati.senato.it/gruppo/91",
"http://dati.senato.it/senatore/22966","Gelmini","Mariastella",19,2023-11-09,2024-10-29,"Membro","http://dati.senato.it/gruppo/9",
"http://dati.senato.it/senatore/22966","Gelmini","Mariastella",19,2024-10-30,,"Membro","http://dati.senato.it/gruppo/92",
"http://dati.senato.it/senatore/1116","Germana'","Antonino",19,2022-10-18,2022-11-07,"Membro","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/1116","Germana'","Antonino",19,2022-11-08,,"Vicepresidente","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/1116","Germana'","Antonino",19,2025-02-25,,"Tesoriere","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/29105","Giacobbe","Francesco",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/29425","Giorgis","Andrea",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/1227","Guidi","Antonio",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/92",
"http://dati.senato.it/senatore/32644","Guidolin","Barbara",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/32645","Iannone","Antonio",19,2022-10-18,,"Tesoriere","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/36401","Irto","Nicola",19,2022-10-18,2022-10-24,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/36401","Irto","Nicola",19,2022-10-25,,"Segretario d'Aula","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/29447","La Marca","Francesca",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/32650","La Pietra","Patrizio Giacomo",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/1275","La Russa","Ignazio",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/36402","Leonardi","Elena",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/32653","Licheri","Ettore Antonio",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/36434","Licheri","Sabrina",19,2022-10-18,2026-02-25,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/36434","Licheri","Sabrina",19,2026-02-26,,"Segretario","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/36403","Liris","Guido Quintino",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/36435","Lisei","Marco",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/36436","Lombardo","Marco",19,2022-10-18,2022-10-18,"Membro","http://dati.senato.it/gruppo/91",
"http://dati.senato.it/senatore/36436","Lombardo","Marco",19,2022-10-19,2023-11-08,"Segretario","http://dati.senato.it/gruppo/91",
"http://dati.senato.it/senatore/36436","Lombardo","Marco",19,2023-11-09,,"Membro","http://dati.senato.it/gruppo/9",
"http://dati.senato.it/senatore/36404","Lopreiato","Ada",19,2022-10-18,2026-02-25,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/36404","Lopreiato","Ada",19,2026-02-26,,"Segretario","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/32655","Lorefice","Pietro",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/25474","Lorenzin","Beatrice",19,2022-10-18,2022-10-24,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/25474","Lorenzin","Beatrice",19,2022-10-25,,"Vicepresidente","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/18055","Losacco","Alberto",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/36405","Lotito","Claudio",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/56",
"http://dati.senato.it/senatore/33946","Maffoni","Gianpietro",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/36437","Magni","Tino",19,2022-10-18,2023-03-15,"Membro","http://dati.senato.it/gruppo/9",
"http://dati.senato.it/senatore/36437","Magni","Tino",19,2023-03-16,,"Tesoriere","http://dati.senato.it/gruppo/9",
"http://dati.senato.it/senatore/32658","Maiorino","Alessandra",19,2022-10-18,2026-02-25,"Vicepresidente Vicario","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/32658","Maiorino","Alessandra",19,2026-02-26,,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/1407","Malan","Lucio",19,2022-10-18,2022-11-08,"Vicepresidente","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/1407","Malan","Lucio",19,2022-11-09,,"Presidente","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/29467","Malpezzi","Simona Flavia",19,2022-10-18,2023-03-27,"Presidente","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/29467","Malpezzi","Simona Flavia",19,2023-03-28,,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/32660","Manca","Daniele",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/36438","Mancini","Paola",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/36439","Marcheschi","Paolo",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/17924","Martella","Andrea",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/29480","Marti","Roberto",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/29132","Marton","Bruno",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/36440","Matera","Domenico",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/36406","Mazzella","Orfeo",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/36407","Melchiorre","Filippo",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/29490","Meloni","Marco",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/1558","Menia","Roberto",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/34558","Mennuni","Lavinia",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/1579","Micciche'","Gianfranco",19,2022-10-18,2023-01-18,"Membro","http://dati.senato.it/gruppo/56",
"http://dati.senato.it/senatore/36408","Mieli","Ester",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/36013","Minasi","Tilde",19,2022-10-18,2026-06-29,"Membro","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/36013","Minasi","Tilde",19,2026-06-30,,"Vicepresidente Vicario","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/29138","Mirabelli","Franco",19,2022-10-18,2022-10-24,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/29138","Mirabelli","Franco",19,2022-10-25,,"Vicepresidente","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/23011","Misiani","Antonio",19,2022-10-18,2022-10-24,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/23011","Misiani","Antonio",19,2022-10-25,2023-06-05,"Tesoriere","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/23011","Misiani","Antonio",19,2023-06-06,,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/28543","Monti","Mario",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/9",
"http://dati.senato.it/senatore/32988","Morelli","Alessandro",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/33110","Murelli","Elena",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/36409","Musolino","Dafne",19,2022-10-18,2023-10-04,"Vicepresidente","http://dati.senato.it/gruppo/69",
"http://dati.senato.it/senatore/36409","Musolino","Dafne",19,2023-10-05,2025-06-03,"Membro","http://dati.senato.it/gruppo/91",
"http://dati.senato.it/senatore/36409","Musolino","Dafne",19,2025-06-04,,"Vicepresidente","http://dati.senato.it/gruppo/91",
"http://dati.senato.it/senatore/28306","Musumeci","Nello",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/1672","Napolitano","Giorgio",19,2022-10-18,2023-09-22,"Membro","http://dati.senato.it/gruppo/69",
"http://dati.senato.it/senatore/25446","Nastri","Gaetano",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/32673","Naturale","Gisella",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/36410","Nave","Luigi",19,2022-10-18,2026-02-25,"Segretario","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/36410","Nave","Luigi",19,2026-02-26,,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/36411","Nicita","Antonio",19,2022-10-18,2023-06-05,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/36411","Nicita","Antonio",19,2023-06-06,,"Vicepresidente","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/36412","Nocco","Vita Maria",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
